Game,Release date,Price,Owners,Developer(s),Publisher(s),Owners_min,Owners_max,Owners_min_text,Owners_max_text
Shakes and Fidget,2016-02-24,0.0,"1,000,000 .. 2,000,000",Playa Games GmbH,Playa Games GmbH,1.00E+06,2.00E+06,1.0M,2.0M
Super Animal Royale,2021-08-26,,"1,000,000 .. 2,000,000",Pixile,Modus Games,1.00E+06,2.00E+06,1.0M,2.0M
Swords of Legends Online,2021-07-09,0.0,"1,000,000 .. 2,000,000","Wangyuan Shengtang Entertainment Technology CO., 上海烛龙信息科技有限公司",Gameforge 4D GmbH,1.00E+06,2.00E+06,1.0M,2.0M
Notes of Soul,2019-01-17,29.99,"1,000,000 .. 2,000,000",（Hong Kong）GKD Game Studio,（Hong Kong）GKD Game Studio,1.00E+06,2.00E+06,1.0M,2.0M
ATLAS,2018-12-22,29.99,"1,000,000 .. 2,000,000","Grapeshot Games, Instinct Games",Grapeshot Games,1.00E+06,2.00E+06,1.0M,2.0M
Deadside,2020-04-14,19.99,"1,000,000 .. 2,000,000",Bad Pixel,Bad Pixel,1.00E+06,2.00E+06,1.0M,2.0M
Creativerse,2017-05-08,24.99,"1,000,000 .. 2,000,000",Playful Corp.,Playful Corp.,1.00E+06,2.00E+06,1.0M,2.0M
Foxhole,2022-09-28,29.99,"1,000,000 .. 2,000,000",Siege Camp,Siege Camp,1.00E+06,2.00E+06,1.0M,2.0M
CarX Drift Racing Online,2017-11-17,14.99,"1,000,000 .. 2,000,000","CarX Technologies, LLC","CarX Technologies, LLC",1.00E+06,2.00E+06,1.0M,2.0M
Squad,2020-09-23,49.99,"1,000,000 .. 2,000,000",Offworld Industries,Offworld Industries,1.00E+06,2.00E+06,1.0M,2.0M
EverQuest II,2011-12-07,0.0,"500,000 .. 1,000,000",Darkpaw Games,Daybreak Game Company,5.00E+05,1.00E+06,500.0K,1.0M
Faeria,2017-03-08,19.99,"500,000 .. 1,000,000",Abrakam Entertainment SA,Versus Evil,5.00E+05,1.00E+06,500.0K,1.0M
Bloodline Champions,2011-01-13,0.0,"500,000 .. 1,000,000",Stunlock Studios,Stunlock Studios,5.00E+05,1.00E+06,500.0K,1.0M
Ragnarok Online,2003-06-01,0.0,"500,000 .. 1,000,000",Gravity Interactive,Gravity Interactive,5.00E+05,1.00E+06,500.0K,1.0M
Dungeon Fighter Online,2016-08-09,0.0,"500,000 .. 1,000,000",Neople,Neople,5.00E+05,1.00E+06,500.0K,1.0M
Secret World Legends,2017-07-31,0.0,"500,000 .. 1,000,000",Funcom,Funcom,5.00E+05,1.00E+06,500.0K,1.0M
WWII Online,2001-06-06,0.0,"500,000 .. 1,000,000",Cornered Rat Software,"Playnet, Inc.",5.00E+05,1.00E+06,500.0K,1.0M
The Crew,2014-12-01,29.99,"500,000 .. 1,000,000",Ivory Tower in collaboration with Ubisoft Reflections,Ubisoft,5.00E+05,1.00E+06,500.0K,1.0M
World of Warplanes,2018-09-12,0.0,"500,000 .. 1,000,000",Wargaming Group Limited,Wargaming Group Limited,5.00E+05,1.00E+06,500.0K,1.0M
Shroud of the Avatar: Forsaken Virtues,2018-03-27,0.0,"500,000 .. 1,000,000",Catnip Games,Catnip Games,5.00E+05,1.00E+06,500.0K,1.0M
极限求生,2021-03-03,0.0,"500,000 .. 1,000,000",陈 世杰,陈 世杰,5.00E+05,1.00E+06,500.0K,1.0M
Divine Souls F2P MMO,2014-11-20,,"500,000 .. 1,000,000",GamePrix,Suba Games,5.00E+05,1.00E+06,500.0K,1.0M
Navy Field 2 : Conqueror of the Ocean,2015-03-05,,"500,000 .. 1,000,000",SDEnterNet,SDEnterNet,5.00E+05,1.00E+06,500.0K,1.0M
CosmicBreak Universal,2008-12-01,0.0,"500,000 .. 1,000,000","CyberStep, Inc.","CyberStep, Inc.",5.00E+05,1.00E+06,500.0K,1.0M
PlanetSide Arena,2019-09-19,,"500,000 .. 1,000,000",Daybreak Game Company,Daybreak Game Company,5.00E+05,1.00E+06,500.0K,1.0M
Audition Online,2007-04-02,0.0,"500,000 .. 1,000,000",T3 Entertainment,Redbana Corporation,5.00E+05,1.00E+06,500.0K,1.0M
Royal Quest,2014-08-06,,"500,000 .. 1,000,000",Katauri,1C Online Games,5.00E+05,1.00E+06,500.0K,1.0M
Continent of the Ninth Seal,2012-09-13,0.0,"500,000 .. 1,000,000","VALOFE, Webzen",VALOFE,5.00E+05,1.00E+06,500.0K,1.0M
Time of Dragons,2016-02-01,,"500,000 .. 1,000,000",4 I Lab,4 I Lab,5.00E+05,1.00E+06,500.0K,1.0M
ONRAID,2017-04-18,0.0,"500,000 .. 1,000,000",Pragmatix Ltd,Pragmatix Ltd,5.00E+05,1.00E+06,500.0K,1.0M
EverQuest,2012-12-13,0.0,"500,000 .. 1,000,000",Darkpaw Games,Daybreak Game Company,5.00E+05,1.00E+06,500.0K,1.0M
Combat Arms: Reloaded,2018-10-31,0.0,"500,000 .. 1,000,000","VALOFE, NEXON",VALOFE,5.00E+05,1.00E+06,500.0K,1.0M
Mortal Online,2015-08-31,0.0,"500,000 .. 1,000,000",Star Vault AB,Star Vault AB,5.00E+05,1.00E+06,500.0K,1.0M
Dragon Nest,2012-12-18,0.0,"500,000 .. 1,000,000",Eyedentity Games Inc.,Eyedentity Games Inc.,5.00E+05,1.00E+06,500.0K,1.0M
Age of Conan: Unchained,2013-02-22,0.0,"500,000 .. 1,000,000",Funcom,Funcom,5.00E+05,1.00E+06,500.0K,1.0M
Spacelords,2017-09-22,0.0,"500,000 .. 1,000,000",MercurySteam,Mercury Steam Entertainment s.l.,5.00E+05,1.00E+06,500.0K,1.0M
Warspear Online,2017-11-02,0.0,"500,000 .. 1,000,000",AIGRIND,AIGRIND,5.00E+05,1.00E+06,500.0K,1.0M
MU Legend,2018-08-06,0.0,"500,000 .. 1,000,000",VALOFE,VALOFE,5.00E+05,1.00E+06,500.0K,1.0M
Kingdom Wars,2013-04-01,,"500,000 .. 1,000,000",Reverie World Studios,Space Bullet Dynamics Corporation,5.00E+05,1.00E+06,500.0K,1.0M
New Frontier,2019-12-27,,"500,000 .. 1,000,000",Free Reign Entertainment,Free Reign Entertainment,5.00E+05,1.00E+06,500.0K,1.0M
