Game,Release date,Price,Owners,Developer(s),Publisher(s),Owners_min,Owners_max,Owners_min_text,Owners_max_text
Crimson Light,2015-07-28,0.0,"0 .. 20,000",Nandee,Crimson Lodge,0.00E+00,2.00E+04,0,20.0K
Gythol Granditti: The Crypt of Darkness,2019-07-19,0.0,"0 .. 20,000",GZ Storm,GZ Storm,0.00E+00,2.00E+04,0,20.0K
Lionheart,2017-07-31,,"0 .. 20,000",Shiisanmei,Fruitbat Factory,0.00E+00,2.00E+04,0,20.0K
Zero Gravity,2016-08-12,0.0,"0 .. 20,000","Dima Zangana, Outback Studios",Dima Zangana,0.00E+00,2.00E+04,0,20.0K
Oracle: Threads of Fate,2018-03-30,0.0,"0 .. 20,000",Oracle Gaming Orlando LLC,Oracle Gaming Orlando LLC,0.00E+00,2.00E+04,0,20.0K
云巅,2020-02-17,0.0,"0 .. 20,000","云巅, 云巅","云巅, 云巅",0.00E+00,2.00E+04,0,20.0K
Xploquest 2,2018-02-20,0.0,"0 .. 20,000",Jean-Sébastien Nouveau,33 Production,0.00E+00,2.00E+04,0,20.0K
MagicCat,2018-03-11,,"0 .. 20,000",W的苹果酱,W的苹果酱,0.00E+00,2.00E+04,0,20.0K
Light of Mine,2017-10-30,0.0,"0 .. 20,000",nP Studios,nonPareil Institute,0.00E+00,2.00E+04,0,20.0K
Skip's Sanity,2018-05-25,0.0,"0 .. 20,000",David Donarumo,David Donarumo,0.00E+00,2.00E+04,0,20.0K
Celestial Tear: Demon's Revenge,2015-11-19,,"0 .. 20,000",White Guardian Studios LLC,White Guardian Studios LLC,0.00E+00,2.00E+04,0,20.0K
The Brink 尘与土,2019-05-11,,"0 .. 20,000",绚丽奈落,0Cube,0.00E+00,2.00E+04,0,20.0K
Tales From Yeoldeburg,2021-01-05,,"0 .. 20,000",Magic Dog Studios,Magic Dog Studios,0.00E+00,2.00E+04,0,20.0K
Undress Tournament,2019-01-24,0.0,"0 .. 20,000","HawkX Games, Double Mirage Studio",HawkX Games,0.00E+00,2.00E+04,0,20.0K
Kukui,2017-08-17,0.0,"0 .. 20,000","Yasmany Roman, Miguel Roman",Sijawa Production,0.00E+00,2.00E+04,0,20.0K
Legends Of Iona RPG (2007),2017-08-22,0.0,"0 .. 20,000",Studio Desgraffx,Studio Desgraffx,0.00E+00,2.00E+04,0,20.0K
Andromeda One,2020-01-19,0.0,"0 .. 20,000",Yann GEFFROTIN,Yann GEFFROTIN,0.00E+00,2.00E+04,0,20.0K
Dragon Drop: Tabletop Multi-tool,2020-07-20,,"0 .. 20,000",MAMMOTH,MAMMOTH,0.00E+00,2.00E+04,0,20.0K
グランドインテンション・アジャストメント,2020-08-31,0.0,"0 .. 20,000",R3GameCreate,R3GameCreate,0.00E+00,2.00E+04,0,20.0K
YangBo Adventure,2018-01-26,0.0,"0 .. 20,000",IM4A,IM4A,0.00E+00,2.00E+04,0,20.0K
Legena: Union Tides,2015-10-08,0.0,"0 .. 20,000",Grandpa Pixel,Grandpa Pixel,0.00E+00,2.00E+04,0,20.0K
Grand Battle,2019-03-20,0.0,"0 .. 20,000",LIONHEART GAMING,Joyfulstar,0.00E+00,2.00E+04,0,20.0K
Risnuch,2019-11-01,0.0,"0 .. 20,000",Razard,Razard,0.00E+00,2.00E+04,0,20.0K
Ulna Online,2021-03-12,0.0,"0 .. 20,000",Moscano,Ulna Produção,0.00E+00,2.00E+04,0,20.0K
FranknJohn,2015-03-04,,"0 .. 20,000",bitSmith Games,bitSmith Games,0.00E+00,2.00E+04,0,20.0K
PixelRPG,2018-10-22,0.0,"0 .. 20,000",Fun Guy Apps,Fun Guy Apps,0.00E+00,2.00E+04,0,20.0K
