"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"391","Soccer Manager 2017","Sep 16, 2016","N/A","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Soccer Manager Ltd","Soccer Manager Ltd"
"395","Soccer Manager 2016","Oct 7, 2015","N/A","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Soccer Manager Ltd","Soccer Manager Ltd"
"397","Paintball War","Jun 1, 2018","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","ShadowWolf Games","ShadowWolf Games"
"400","Soccer Manager 2019","Dec 19, 2018","N/A","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Soccer Manager Ltd","Soccer Manager Ltd"
"401","Quantum League - Free Open Beta","Feb 21, 2020","N/A","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Nimble Giant Entertainment","Nimble Giant Entertainment"
"403","Orqa FPV.SkyDive","May 31, 2021","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","ORQA, INC.","ORQA, INC."
"405","Victory: The Age of Racing","Feb 12, 2016","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Vae Victis Games","Vae Victis Games"
"406","Trophy Fishing 2","Jul 13, 2017","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Overgroup","Overgroup"
"407","World of Soccer","Aug 26, 2015","N/A","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","WoS Development Team","Huebotics"
"409","ACE - Arena: Cyber Evolution","Aug 18, 2014","N/A","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Spearhead Games","Spearhead Games"
"411","Kreedz Climbing","Jun 15, 2017","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","ObsessionSoft","ObsessionSoft"
"413","Football Manager 2020 Touch","Nov 19, 2019","N/A","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Sports Interactive","SEGA"
"415","Project CARS - Pagani Edition","Oct 28, 2016","N/A","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Slightly Mad Studios","Slightly Mad Studios, BANDAI NAMCO Entertainment"
"416","Colin McRae Rally","Jul 30, 2014","N/A","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Codemasters Digital","Codemasters"
"417","Zaccaria Pinball","Jun 16, 2016","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Magic Pixel Kft.","Magic Pixel Kft."
"418","Super Buckyball Tournament Preseason","Nov 19, 2020","N/A","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Pathea Games","Pathea Games"
"419","Soccer Manager 2020","Jan 29, 2020","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Soccer Manager Ltd","Soccer Manager Ltd"
"420","Rushdown Revolt - Alpha Testing","Jan 27, 2021","N/A","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Vortex Games","Vortex Games"
"422","Poker Championship","Sep 25, 2019","Free","N/A (N/A)","200,000 .. 500,000","00:06 (00:02)","BBstudio Inc.","BBstudio Inc."
"423","Pool Nation FX Lite","Dec 7, 2015","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Cherry Pop Games","Cherry Pop Games"
"424","WGT Golf","Apr 13, 2020","Free","N/A (N/A)","200,000 .. 500,000","01:26 (00:28)","Topgolf Media","Topgolf Media"
"425","Ashland:Explore","Apr 23, 2020","N/A","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","探X索, Explore X Studio","探X索, Explore X Studio"
"430","Gridiron","Jul 23, 2020","N/A","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","1336 Studios","1336 Studios"
"432","Wrecked","Apr 1, 2018","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Marco Amadei","Corvostudio di Amadei Marco"
"434","IOSoccer","Jun 8, 2018","Free","N/A (N/A)","200,000 .. 500,000","00:01 (00:00)","IOSoccer Team","IOSoccer Team"
"435","Slapshot","Mar 8, 2019","N/A","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Oddshot Games","Oddshot Games"
"436","Professional Fishing","Nov 30, 2018","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","MasterCode","Ultimate Games S.A."
"440","MadOut2 BigCityOnline [CLOSED]","Feb 21, 2017","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","MadOut Games","MadOut Games"
"1676","Aster Fpv Drone Simulator","Oct 22, 2020","$19.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Emmanuel Perrillon","Emmanuel Perrillon"
"2867","JDM Tuner Racing","Jun 7, 2016","$0.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","JDM4iK","Droid Riot"
"2934","Battle Ram","Jan 5, 2023","$3.99","N/A (N/A)","200,000 .. 500,000","00:52 (00:17)","Wloop777, Anatoliy Loginovskikh","khukhrovr  "
"2939","Slipstream 5000","Oct 9, 2015","$2.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Gremlin Interactive, The Software Refinery","Funbox Media Ltd"
"2974","ROCKETSROCKETSROCKETS","May 1, 2015","$6.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Radial Games Corp, Loren Bednar, Dr. Kimberly Voll, Lindsay Jorgensen","Radial Games Corp"
"3005","Worms Crazy Golf","Oct 19, 2011","$9.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Team17 Digital Ltd","Team17 Digital Ltd"
"3019","Mind Spheres","Jul 8, 2016","$0.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Microblast Games","SA Industry"
"3050","Depth Hunter 2: Deep Dive","Aug 20, 2014","$17.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Biart Company LLC","Biart Company LLC"
"3058","Teddy Floppy Ear - The Race","May 22, 2015","N/A","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Forever Entertainment S. A.","Forever Entertainment S. A."
"3059","AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome","Nov 23, 2011","$9.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Dejobaan Games, LLC, Owlchemy Labs","Dejobaan Games, LLC"
"3060","Headsnatchers","Nov 7, 2019","$2.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","IguanaBee","Iceberg Interactive"
"3062","Jet Racing Extreme: The First Encounter","Jul 14, 2015","$3.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Real Dynamics","Real Dynamics"
"3064","电竞俱乐部/ESports Club","Jun 29, 2017","$8.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Hangzhou Xinlan Network Technology Co.,Ltd.","Hangzhou Xinlan Network Technology Co.,Ltd."
"3086","FURIDASHI: Drift Cyber Sport","Nov 2, 2017","$17.99","N/A (N/A)","200,000 .. 500,000","00:52 (00:26)","Drift Physics Crew","Drift Physics Crew"
"3091","Eastside Hockey Manager","Dec 1, 2015","$19.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Sports Interactive","SEGA"
"3093","MXGP - The Official Motocross Videogame","Mar 28, 2014","$9.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Milestone S.r.l.","Plug In Digital, Milestone S.r.l."
"3102","Disc Jam","Mar 7, 2017","$2.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","High Horse Entertainment","High Horse Entertainment"
"3105","Ice Lakes","Apr 19, 2016","$14.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Iceflake Studios","Paradox Interactive"
"3106","BOXVR","May 21, 2019","$29.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","FitXR","FitXR"
