"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"434","Sleeping Dogs","Jan 17, 1983","N/A","N/A (N/A/80%)","2,000,000 .. 5,000,000","00:00 (00:00)","United Front Games","Square Enix"
"435","Brutal Legend","Feb 26, 2013","$14.99","N/A (N/A/80%)","2,000,000 .. 5,000,000","00:00 (00:00)","Double Fine Productions","Double Fine Productions"
"440","Far Cry 4","Nov 18, 2014","$29.99","N/A (N/A/80%)","2,000,000 .. 5,000,000","09:57 (07:53)","Ubisoft Montreal, Red Storm, Shanghai, Toronto, Kiev","Ubisoft"
"441","Elite Dangerous","Apr 2, 2015","$7.49","N/A (N/A/80%)","2,000,000 .. 5,000,000","05:27 (07:36)","Frontier Developments","Frontier Developments"
"443","Outlast","Sep 4, 2013","$19.99","N/A (N/A/80%)","2,000,000 .. 5,000,000","04:31 (07:29)","Red Barrels","Red Barrels"
"502","Jotun: Valhalla Edition","Sep 29, 2015","$14.99","N/A (N/A/79%)","2,000,000 .. 5,000,000","00:00 (00:00)","Thunder Lotus Games","Thunder Lotus Games"
"510","The Awesome Adventures of Captain Spirit","Jun 25, 2018","N/A","N/A (N/A/79%)","2,000,000 .. 5,000,000","02:55 (00:58)","DONTNOD Entertainment","Square Enix"
"513","For The King","Apr 19, 2018","$19.99","N/A (N/A/79%)","2,000,000 .. 5,000,000","05:04 (03:53)","IronOak Games","Curve Games"
"515","Resident Evil 4 (2005)","Feb 27, 2014","$19.99","N/A (N/A/79%)","2,000,000 .. 5,000,000","06:07 (05:50)","Capcom","Capcom"
"516","Don't Starve","Apr 23, 2013","$9.99","N/A (N/A/79%)","2,000,000 .. 5,000,000","06:02 (02:24)","Klei Entertainment","Klei Entertainment"
"587","Remnant: From the Ashes","Aug 19, 2019","$15.99","N/A (N/A/78%)","2,000,000 .. 5,000,000","05:32 (02:34)","Gunfire Games","Gearbox Publishing"
"589","Sniper Elite 4","Feb 13, 2017","$59.99","N/A (N/A/78%)","2,000,000 .. 5,000,000","01:19 (01:08)","Rebellion","Rebellion"
"738","DISTRAINT: Deluxe Edition","Oct 21, 2015","$0.84","N/A (N/A/76%)","2,000,000 .. 5,000,000","00:00 (00:00)","Jesse Makkonen","Jesse Makkonen"
"742","Spec Ops: The Line","Jun 25, 2012","$29.99","N/A (N/A/76%)","2,000,000 .. 5,000,000","01:32 (00:30)","YAGER","2K, Missing Link Games"
"743","Kingdom Come: Deliverance","Feb 13, 2018","$29.99","N/A (N/A/76%)","2,000,000 .. 5,000,000","20:37 (20:37)","Warhorse Studios","Warhorse Studios, Prime Matter"
"826","Alice: Madness Returns","Jun 17, 2011","$3.99","N/A (N/A/75%)","2,000,000 .. 5,000,000","02:40 (00:53)","Spicy Horse Games","Electronic Arts"
"889","Stories: The Path of Destinies","Apr 12, 2016","$14.99","N/A (N/A/74%)","2,000,000 .. 5,000,000","00:00 (00:00)","Spearhead Games","Spearhead Games"
"901","Batman: Arkham Origins","Oct 24, 2013","$19.99","N/A (N/A/74%)","2,000,000 .. 5,000,000","09:06 (06:03)","WB Games Montreal, Splash Damage","Warner Bros. Interactive Entertainment"
"902","Just Cause 3","Nov 30, 2015","$19.99","N/A (N/A/74%)","2,000,000 .. 5,000,000","00:59 (00:53)","Avalanche Studios","Square Enix"
"963","Shadow Warrior","Sep 26, 2013","$9.99","N/A (N/A/73%)","2,000,000 .. 5,000,000","00:00 (00:00)","Flying Wild Hog","Devolver Digital"
"968","Mad Max","Sep 1, 2015","$19.99","N/A (N/A/73%)","2,000,000 .. 5,000,000","00:08 (00:02)","Avalanche Studios","Warner Bros. Games, Warner Bros. Interactive Entertainment"
"1035","DC Universe Online","Nov 2, 2011","Free","N/A (N/A/72%)","2,000,000 .. 5,000,000","00:00 (00:00)","Dimensional Ink Games","Daybreak Game Company"
"1037","Layers of Fear (2016)","Feb 15, 2016","$19.99","N/A (N/A/72%)","2,000,000 .. 5,000,000","00:00 (00:00)","Bloober Team SA","Bloober Team SA"
"1038","Bully: Scholarship Edition","Oct 21, 2008","$14.99","N/A (N/A/72%)","2,000,000 .. 5,000,000","00:01 (00:00)","Rockstar New England","Rockstar Games"
"1040","Need for Speed Heat","Nov 8, 2019","$69.99","N/A (N/A/72%)","2,000,000 .. 5,000,000","03:00 (05:16)","Ghost Games","Electronic Arts"
"1191","Resident Evil 6","Mar 22, 2013","$29.99","N/A (N/A/69%)","2,000,000 .. 5,000,000","05:34 (04:57)","Capcom","Capcom"
"1393","Kholat","Jun 9, 2015","$19.99","N/A (N/A/64%)","2,000,000 .. 5,000,000","00:00 (00:00)","IMGN.PRO","IMGN.PRO"
"1394","Guns of Icarus Online","Oct 29, 2012","$4.99","N/A (N/A/64%)","2,000,000 .. 5,000,000","00:00 (00:00)","Muse Games","Muse Games"
"1395","Spiral Knights","Jun 14, 2011","Free","N/A (N/A/64%)","2,000,000 .. 5,000,000","03:58 (01:19)","Grey Havens","Grey Havens"
"1494","Wolcen: Lords of Mayhem","Feb 13, 2020","$9.99","N/A (N/A/60%)","2,000,000 .. 5,000,000","20:24 (39:30)","WOLCEN Studio","WOLCEN Studio"
"1514","POSTAL 2","Apr 14, 2003","$9.99","N/A (N/A/59%)","2,000,000 .. 5,000,000","02:12 (02:46)","Running With Scissors","Running With Scissors"
"3258","Knight Online","Jan 25, 2016","Free","N/A (N/A)","2,000,000 .. 5,000,000","00:10 (00:03)","Noah System, Mgame","NTTGame"
"3274","Aura Kingdom","Jul 2014","N/A","N/A (N/A)","2,000,000 .. 5,000,000","00:12 (00:04)","X-Legend","Aeria Games"
"3282","ARK: Survival Of The Fittest","Aug 29, 2017","$19.99","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC","Studio Wildcard"
"3289","S.K.I.L.L. - Special Force 2 (Shooter)","Sep 12, 2013","N/A","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Dragonfly GF Co., LTD","Space Budgie"
