Game,Release date,Price,Owners,Developer(s),Publisher(s),Owners_min,Owners_max,Owners_min_text,Owners_max_text,dev_pub_relation,accion,aventura,deportes,early,estrategia,free,mmorpg,rpg,simulacion,indie,Release year,dev_code
Toukiden 2,2017-03-21,59.99,"50,000 .. 100,000","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",5.00E+04,100000.0,50.0K,100.0K,igual,1,0,0,0,0,0,0,0,0,0,2017.0,5
Tom Clancy’s The Division 2,2023-01-12,29.99,"50,000 .. 100,000",Ubisoft,Ubisoft,5.00E+04,100000.0,50.0K,100.0K,igual,1,1,0,0,0,0,0,1,0,0,2023.0,4
Subterra,2017-09-18,4.99,"50,000 .. 100,000",Warfare Studios,Senpai Studios,5.00E+04,100000.0,50.0K,100.0K,distinto,1,1,0,0,0,0,0,1,0,1,2017.0,13
Bitcoin Collector,2017-09-13,1.99,"50,000 .. 100,000",Blender Games,Blender Games,5.00E+04,100000.0,50.0K,100.0K,igual,1,1,0,0,0,0,0,0,0,1,2017.0,15
MechDefender - Tower Defense,2020-03-03,0.39,"50,000 .. 100,000","Atomic Fabrik, Cristian Manolachi","Atomic Fabrik, Cristian Manolachi",5.00E+04,100000.0,50.0K,100.0K,igual,1,1,1,0,1,0,0,0,0,1,2020.0,16
Survival Zombies The Inverted Evolution,2017-05-08,0.99,"50,000 .. 100,000",Racing Bros,ANPA.US,5.00E+04,100000.0,50.0K,100.0K,distinto,1,1,0,0,0,0,0,0,1,1,2017.0,10
[NINJA GAIDEN: Master Collection] NINJA GAIDEN 3: Razor's Edge,2021-06-09,39.99,"50,000 .. 100,000","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",5.00E+04,100000.0,50.0K,100.0K,igual,1,1,0,0,0,0,0,0,0,0,2021.0,5
DYNASTY WARRIORS 9 Empires,2021-12-22,59.99,"50,000 .. 100,000","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",5.00E+04,100000.0,50.0K,100.0K,igual,1,0,0,0,1,0,0,0,1,0,2021.0,5
Toukiden: Kiwami,2015-06-25,59.99,"50,000 .. 100,000","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",5.00E+04,100000.0,50.0K,100.0K,igual,1,0,0,0,0,0,0,0,0,0,2015.0,5
DYNASTY WARRIORS 8 Empires,2015-02-26,49.99,"50,000 .. 100,000","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",5.00E+04,100000.0,50.0K,100.0K,igual,1,0,0,0,0,0,0,0,0,0,2015.0,5
SAMURAI WARRIORS 4-II,2015-09-29,49.99,"50,000 .. 100,000","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",5.00E+04,100000.0,50.0K,100.0K,igual,1,0,0,0,0,0,0,0,0,0,2015.0,5
DYNASTY WARRIORS 7: Xtreme Legends Definitive Edition,2018-12-06,19.99,"50,000 .. 100,000","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",5.00E+04,100000.0,50.0K,100.0K,igual,1,0,0,0,0,0,0,0,0,0,2018.0,5
Grand Theft Auto: San Andreas – The Definitive Edition,2023-01-19,59.99,"50,000 .. 100,000",Rockstar Games,Rockstar Games,5.00E+04,100000.0,50.0K,100.0K,igual,1,1,0,0,0,0,0,0,0,0,2023.0,3
