Game,Release date,Price,Owners,Developer(s),Publisher(s),Owners_min,Owners_max,Owners_min_text,Owners_max_text
The Cult: Marduk's Longest Night,2019-12-10,2.39,"0 .. 20,000",Neon Sloth Studio,Neon Sloth Studio,0.00E+00,2.00E+04,0,20.0K
Joyfess Ep1: Martin's Secret Recipe,2020-03-26,8.99,"0 .. 20,000",Sand Wagon Games,Sand Wagon Games,0.00E+00,2.00E+04,0,20.0K
Frontline: The Great Patriotic War,2019-12-20,7.99,"0 .. 20,000",Frontline: Games Series,Frontline: Games Series,0.00E+00,2.00E+04,0,20.0K
末日临晓/The Dawn,2020-03-19,4.99,"0 .. 20,000",橙光游戏,橙光游戏,0.00E+00,2.00E+04,0,20.0K
Super Neat Cat,2020-12-16,0.0,"0 .. 20,000",Neat Games,Neat Games,0.00E+00,2.00E+04,0,20.0K
Airport Administrator Simulator,2022-05-13,44.99,"0 .. 20,000",KOA BOA,KOA BOA,0.00E+00,2.00E+04,0,20.0K
Legend of Kendor,2022-12-01,10.99,"0 .. 20,000",pickysource,pickysource,0.00E+00,2.00E+04,0,20.0K
Blinded by Fear,2023-01-19,5.99,"0 .. 20,000",TEMPER,TEMPER,0.00E+00,2.00E+04,0,20.0K
Tailwind,2017-07-28,1.99,"0 .. 20,000",ClickGames,ClickGames,0.00E+00,2.00E+04,0,20.0K
VIY,2020-04-18,2.99,"0 .. 20,000",obrubshik,obrubshik,0.00E+00,2.00E+04,0,20.0K
Vacancy Unlimited,2022-04-06,2.99,"0 .. 20,000",Noah Lewin,Day Dreamer Games,0.00E+00,2.00E+04,0,20.0K
CURSED NIGHT - The House,2021-09-17,0.79,"0 .. 20,000",VR Pirates Game Studio,VR Pirates Game Studio,0.00E+00,2.00E+04,0,20.0K
Soulstopia -PHI-,2021-09-28,0.38,"0 .. 20,000",NWArtworks,"Tero Lunkka, Valkeala Software",0.00E+00,2.00E+04,0,20.0K
HUNDRED FIRES: The rising of red star - EPISODE 1,2021-12-10,3.99,"0 .. 20,000",David Amado Fernández,Naili Studio,0.00E+00,2.00E+04,0,20.0K
What Is Love? Anime Visual Novel Vol. 1,2022-09-30,18.99,"0 .. 20,000",Baka Dog,Baka Dog,0.00E+00,2.00E+04,0,20.0K
DO NOT OPEN,2022-11-30,24.99,"0 .. 20,000",NOX NOCTIS,UNREALITY S.L.,0.00E+00,2.00E+04,0,20.0K
Historium VR - Relive the history of Bruges,2016-12-02,7.99,"0 .. 20,000",Sevenedge Interactive Media,Historium Bruges,0.00E+00,2.00E+04,0,20.0K
CRYEP,2018-09-14,12.99,"0 .. 20,000","IMLBE, Dnovel",IMLBE,0.00E+00,2.00E+04,0,20.0K
Night Catcher,2019-03-22,2.99,"0 .. 20,000",Exsom,Exsom,0.00E+00,2.00E+04,0,20.0K
Spinning_Kid,2020-10-10,0.28,"0 .. 20,000",Dnovel,FreeAnimals_Software,0.00E+00,2.00E+04,0,20.0K
The Octots Survival,2021-09-09,12.99,"0 .. 20,000",SFK Game Studio,SFK Game Studio,0.00E+00,2.00E+04,0,20.0K
SUPER NANARU,2022-03-23,9.99,"0 .. 20,000",TENTACLE SOFT,"CFK Co., Ltd.",0.00E+00,2.00E+04,0,20.0K
Divinus Vanitas,2022-09-14,2.99,"0 .. 20,000",Project Eril,Kajak Games,0.00E+00,2.00E+04,0,20.0K
Super Robot Jump Jump,2016-03-31,4.99,"0 .. 20,000",Beyond Technical Inc.,Beyond Technical,0.00E+00,2.00E+04,0,20.0K
Samurai of Hyuga Book 3,2017-12-01,5.99,"0 .. 20,000",Hosted Games,Hosted Games,0.00E+00,2.00E+04,0,20.0K
LoliTower,2019-10-26,0.99,"0 .. 20,000",XCGames,0Cube,0.00E+00,2.00E+04,0,20.0K
Cash Horse - Match 3 Puzzle Adventure,2021-02-03,9.99,"0 .. 20,000",Dnovel,Dnovel,0.00E+00,2.00E+04,0,20.0K
Time Trap 2 - Search and Find Objects Game - Hidden Pictures,2021-03-19,4.99,"0 .. 20,000",Crisp App Studio,Crisp App Studio,0.00E+00,2.00E+04,0,20.0K
Lust&Magic -Chisalla in a Flower Basket-,2022-06-03,4.99,"0 .. 20,000",Eugor Evol,OTAKU Plan,0.00E+00,2.00E+04,0,20.0K
Yokai Hunter Shintaro,2022-05-03,2.24,"0 .. 20,000",RivalThird,RivalThird,0.00E+00,2.00E+04,0,20.0K
Mare,2022-03-31,19.99,"0 .. 20,000",Visiontrick Media,Visiontrick Media,0.00E+00,2.00E+04,0,20.0K
Abandoned: Chestnut Lodge Asylum,2012-04-01,6.99,"0 .. 20,000",Lazy Turtle Games,"Tri Synergy, Inc.",0.00E+00,2.00E+04,0,20.0K
Tombeaux,2018-11-05,4.99,"0 .. 20,000",Dave Beck,Dave Beck,0.00E+00,2.00E+04,0,20.0K
