Game,Release date,Price,Owners,Developer(s),Publisher(s),Owners_min,Owners_max,Owners_min_text,Owners_max_text
Ultimate Ski Jumping 2020,2020-04-03,9.99,"0 .. 20,000",Blue Sunset Games,Forever Entertainment S. A.,0.00E+00,2.00E+04,0,20.0K
Tuk Tuk Extreme Simulator,2022-05-02,3.99,"0 .. 20,000","Cristian Manolachi, AtomicFabrik","Cristian Manolachi, Atomic Fabrik",0.00E+00,2.00E+04,0,20.0K
moto RKD dash SP,2016-06-03,2.99,"0 .. 20,000",rkd.zone,rkd.zone,0.00E+00,2.00E+04,0,20.0K
Space Escape!,2018-03-26,1.99,"0 .. 20,000",Cow Corp.,Cow Corp.,0.00E+00,2.00E+04,0,20.0K
True Mining Simulator,2021-01-07,4.99,"0 .. 20,000",Boolba Entertainment,Boolba Entertainment,0.00E+00,2.00E+04,0,20.0K
Anime Studio Simulator,2016-11-02,7.99,"0 .. 20,000",Visualnoveler,Visualnoveler,0.00E+00,2.00E+04,0,20.0K
Road to your City,2019-11-18,9.99,"0 .. 20,000",Yheeky Games,Yheeky Games,0.00E+00,2.00E+04,0,20.0K
Forklift Simulator 2019,2020-11-06,19.99,"0 .. 20,000",Blind Squirrel Games,Blind Squirrel Publishing,0.00E+00,2.00E+04,0,20.0K
Food Chain,2020-09-03,7.99,"0 .. 20,000",Kozhakov,Kozhakov,0.00E+00,2.00E+04,0,20.0K
AdvertCity,2015-06-05,11.99,"0 .. 20,000","VoxelStorm, Armchair Software","VoxelStorm, Armchair Software",0.00E+00,2.00E+04,0,20.0K
Trivia Vault: Mini Mixed Trivia 4,2017-09-21,9.99,"0 .. 20,000",Ripknot Systems,Ripknot Systems,0.00E+00,2.00E+04,0,20.0K
Stonedeep,2021-10-09,7.99,"0 .. 20,000",Direfang,"Direfang, Smuttlewerk interactive",0.00E+00,2.00E+04,0,20.0K
Sable's Grimoire: Man And Elf,2020-06-19,5.99,"0 .. 20,000",Zetsubou,Zetsubou,0.00E+00,2.00E+04,0,20.0K
CHR$(143),2021-08-04,7.99,"0 .. 20,000",Nicolas Jean,Nicolas Jean,0.00E+00,2.00E+04,0,20.0K
Veil of Dust: A Homesteading Game,2023-04-02,14.99,"0 .. 20,000",Calamity Bay Games,Calamity Bay Games,0.00E+00,2.00E+04,0,20.0K
Grand Prix Story,2022-10-10,8.99,"0 .. 20,000","Kairosoft Co.,Ltd","Kairosoft Co.,Ltd",0.00E+00,2.00E+04,0,20.0K
L U N E,2016-06-20,2.99,"0 .. 20,000",Isaac Cohen,Isaac Cohen,0.00E+00,2.00E+04,0,20.0K
OCTOPTICOM,2018-10-03,9.99,"0 .. 20,000",UP DEVELOPMENT LTD.,UP DEVELOPMENT LTD.,0.00E+00,2.00E+04,0,20.0K
