Game,Release date,Price,Owners,Developer(s),Publisher(s),Owners_min,Owners_max,Owners_min_text,Owners_max_text
Dyson Sphere Program,2021-01-20,15.99,"2,000,000 .. 5,000,000",Youthcat Studio,Gamera Games,2.00E+06,5.00E+06,2.0M,5.0M
Conan Exiles,2018-05-08,39.99,"2,000,000 .. 5,000,000",Funcom,Funcom,2.00E+06,5.00E+06,2.0M,5.0M
Inscryption,2021-10-19,19.99,"2,000,000 .. 5,000,000",Daniel Mullins Games,Devolver Digital,2.00E+06,5.00E+06,2.0M,5.0M
The Long Dark,2017-08-01,19.99,"2,000,000 .. 5,000,000",Hinterland Studio Inc.,Hinterland Studio Inc.,2.00E+06,5.00E+06,2.0M,5.0M
Totally Accurate Battle Simulator,2021-04-01,19.99,"2,000,000 .. 5,000,000",Landfall,Landfall,2.00E+06,5.00E+06,2.0M,5.0M
Space Engineers,2019-02-28,19.99,"2,000,000 .. 5,000,000",Keen Software House,Keen Software House,2.00E+06,5.00E+06,2.0M,5.0M
Satisfactory,2020-06-08,29.99,"2,000,000 .. 5,000,000",Coffee Stain Studios,Coffee Stain Publishing,2.00E+06,5.00E+06,2.0M,5.0M
Bloons TD 6,2018-12-17,3.49,"2,000,000 .. 5,000,000",Ninja Kiwi,Ninja Kiwi,2.00E+06,5.00E+06,2.0M,5.0M
Sid Meier's Civilization IV,2005-10-25,19.99,"1,000,000 .. 2,000,000",Firaxis Games,2K,1.00E+06,2.00E+06,1.0M,2.0M
Divinity: Original Sin - Enhanced Edition,2015-10-27,11.99,"1,000,000 .. 2,000,000",Larian Studios,Larian Studios,1.00E+06,2.00E+06,1.0M,2.0M
Company of Heroes,2006-09-11,19.99,"1,000,000 .. 2,000,000",Relic Entertainment,SEGA,1.00E+06,2.00E+06,1.0M,2.0M
Dwarf Fortress,2022-12-06,29.99,"1,000,000 .. 2,000,000",Bay 12 Games,Kitfox Games,1.00E+06,2.00E+06,1.0M,2.0M
Rome: Total War - Collection,2004-09-22,,"1,000,000 .. 2,000,000",CREATIVE ASSEMBLY,SEGA,1.00E+06,2.00E+06,1.0M,2.0M
Sid Meier's Civilization III Complete,2006-10-25,4.99,"1,000,000 .. 2,000,000",Firaxis Games,2K,1.00E+06,2.00E+06,1.0M,2.0M
Braid,2009-04-10,4.99,"1,000,000 .. 2,000,000",Number None,Number None,1.00E+06,2.00E+06,1.0M,2.0M
Into the Breach,2018-02-27,14.99,"1,000,000 .. 2,000,000",Subset Games,Subset Games,1.00E+06,2.00E+06,1.0M,2.0M
Rise of Nations: Extended Edition,2014-06-12,19.99,"1,000,000 .. 2,000,000","SkyBox Labs, Big Huge Games",Xbox Game Studios,1.00E+06,2.00E+06,1.0M,2.0M
Company of Heroes: Opposing Fronts,2007-09-27,19.99,"1,000,000 .. 2,000,000",Relic Entertainment,SEGA,1.00E+06,2.00E+06,1.0M,2.0M
Orcs Must Die! Unchained,2017-04-19,,"1,000,000 .. 2,000,000",Robot Entertainment,Robot Entertainment,1.00E+06,2.00E+06,1.0M,2.0M
"Warhammer 40,000: Dawn of War - Dark Crusade",2006-10-09,12.99,"1,000,000 .. 2,000,000",Relic Entertainment,SEGA,1.00E+06,2.00E+06,1.0M,2.0M
Divinity: Original Sin (Classic),2014-06-30,11.99,"1,000,000 .. 2,000,000",Larian Studios,Larian Studios,1.00E+06,2.00E+06,1.0M,2.0M
"Warhammer 40,000: Dawn of War - Game of the Year Edition",2007-08-07,12.99,"1,000,000 .. 2,000,000",Relic Entertainment,SEGA,1.00E+06,2.00E+06,1.0M,2.0M
