Game,Release date,Price,Owners,Developer(s),Publisher(s),Owners_min,Owners_max,Owners_min_text,Owners_max_text
SimPoly Drive,2023-03-30,7.99,"0 .. 20,000",R.Kalita,ARK-SIMDRIVES,0.00E+00,2.00E+04,0,20.0K
ToledoVR,2017-01-16,8.99,"0 .. 20,000",SomeDudes,SomeDudes,0.00E+00,2.00E+04,0,20.0K
Brush Up VR,2017-02-01,0.99,"0 .. 20,000",Games That Work,Games That Work,0.00E+00,2.00E+04,0,20.0K
Block Rocking Beats,2017-06-30,9.99,"0 .. 20,000","Sander Sneek, Jochem de Klerk",SNAKE Productions,0.00E+00,2.00E+04,0,20.0K
RuneTech,2018-05-01,4.99,"0 .. 20,000","James Conrad, Micah Sigmund, Meaghann LeBleu",Hyaloid Games,0.00E+00,2.00E+04,0,20.0K
Hulì The Mage,2018-12-11,4.99,"0 .. 20,000",Scelzi Stefano,Scelzi Stefano,0.00E+00,2.00E+04,0,20.0K
Puttin' Around,2019-03-06,4.99,"0 .. 20,000",Better Games LLC,Better Games LLC,0.00E+00,2.00E+04,0,20.0K
F18 Carrier Landing,2019-04-11,4.99,"0 .. 20,000",TAS Systems Corp,TAS Systems Corp,0.00E+00,2.00E+04,0,20.0K
Kingdom Of Force,2020-11-01,6.99,"0 .. 20,000","Beijing Hydra Technology Co., Ltd.","Beijing Hydra Technology Co., Ltd.",0.00E+00,2.00E+04,0,20.0K
Weltreich: Political Strategy Simulator,2021-08-05,5.99,"0 .. 20,000",Light Game Studio,Light Game Studio,0.00E+00,2.00E+04,0,20.0K
Booom-Slang!,2021-09-17,12.74,"0 .. 20,000",Skermunkel,Skermunkel,0.00E+00,2.00E+04,0,20.0K
MachineryWorld,2021-02-12,19.99,"0 .. 20,000",DY-Works,DY-Works,0.00E+00,2.00E+04,0,20.0K
Dragon's Bane,2021-04-08,5.99,"0 .. 20,000",Struggle Bus Games LLC,Struggle Bus Games LLC,0.00E+00,2.00E+04,0,20.0K
